balcony__offer,basement__clean,building_height__offer,building_material__offer,building_type__offer,building_year__offer,date_added__offer,date_refreshed__offer,desc_len__offer,direct__offer,driveway__clean,electricity__clean,fence__clean,flat_state__offer,floor__offer,floor_number__clean,furniture__clean,gas__clean,heating__offer,internet__clean,kitchen_furniture__clean,lat__offer,lift__clean,lon__offer,market_type__offer,offer_id__offer,parking_spot__clean,price__offer,price_m2__offer,promotion_counter__offer,room_n__offer,sewers__clean,size__offer,taras__offer,telecom__clean,view_count__offer,water__offer,lon1,lat1,lon2,lat2,cluster_center_dist_km__feature,cluster_mean_price_m2__feature,cluster_mean_price__feature,cluster_id__feature,cluster_coords_factor__feature,sale__prediction,sale_price_diff__prediction
1.0,0.0,4.0,3,3,1873.0,2020-10-08,2020-10-12,1807,0,0.0,0,0.0,4,5,4.0,0.0,0.0,3.0,0.0,0.0,52.2247183,1.0,21.0149579,0,morizon-57/10239/OMS,1.0,3713616,33300.0,60,5,0,111.52,0.0,0.0,47,1,21.019572133075265,52.22798162258067,21.0149579,52.2247183,0.48,13223.66,846208.6662576688,664,22158.57123428955,19198.507511706357,14101.492488293643
1.0,0.0,5.0,3,3,1970.0,2020-12-15,2020-12-15,20,1,0.0,0,0.0,4,4,4.0,0.0,0.0,3.0,0.0,0.0,50.054959,1.0,19.9178565,1,morizon-asdfasdfasdfasdf/10239/OMS,1.0,500000,10417.0,60,4,0,48.0,0.0,0.0,47,1,19.919961817333334,50.05542977000001,19.9178565,50.054959,0.16,13819.81,723974.6029411765,680,25743.72073339085,14622.286466672678,-4205.286466672678
1.0,0.0,3.0,2,1,2003.0,2020-12-14,2020-12-14,1566,0,0.0,0,0.0,3,1,3.0,0.0,0.0,3.0,1.0,0.0,52.3777186,1.0,16.9170698,1,morizon-56664,0.0,29900,610.2,0,2,0,49.0,0.0,0.0,47,0,16.91751685,52.37847780000001,16.9170698,52.3777186,0.09,7311.12,422468.978021978,229,14018.567012803716,7937.250905233884,-7327.050905233884
1.0,0.0,4.0,3,3,2019.0,2020-12-17,2020-12-17,372,0,0.0,0,0.0,3,1,4.0,0.0,0.0,3.0,0.0,0.0,51.7319705,0.0,19.47323581,1,morizon-18278843,0.0,30000,1200.0,0,1,0,25.0,0.0,0.0,16,0,19.472749546666666,51.74173056333333,19.47323581,51.7319705,1.08,6371.62,329345.7735849057,139,9427.547689018598,5005.190510119048,-3805.1905101190478
