,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
10,building_type_apart,0.01178056620886568,0.17784687233685048,0.0,0.0,0.0,0.0,0.0,0.0
3,desc_len,0.014220592644975348,455.6126052206386,-87.1437315691738,83.15274673011638,221.12504052862005,169.22294589526186,126.14455763850447,107.89109756024664
4,floor,0.01427153121243135,1.2848773472592627,295.40342464666867,29.595229445307854,410.6852521441156,122.4648971491259,91.12860720891422,77.48226151355539
1,building_type,0.025510392502111748,0.39504796860634533,0.0,0.00960033926472115,0.0,0.00960033926472115,0.0,0.0
0,building_height,0.02837165784725015,1.6938450342342417,-111.2731216672189,178.030870441042,293.48977430513946,310.00928819847644,227.3323884618676,248.04411065679187
2,building_year,0.03811068966487085,15.189190510359662,38.75801008843609,-165.2856602739004,632.7719203972391,579.9605811061158,425.1877023978486,369.3917923949907
7,size,0.04284095266249565,14.094002983425176,562.6527713269227,-287.4690478919233,696.8422601803892,434.2872028934987,485.3491639339236,328.0296028360908
5,lat,0.05664607467486874,0.6805125907694481,18.841522660400326,532.9042951701534,816.2741796904745,1415.863743366655,443.7658643063173,441.43401421352246
6,lon,0.060671786990953144,0.9488936956591176,-190.94861051026623,474.70051465855295,739.6860067423414,1426.7292195650755,362.26308745884853,500.22205583062214
9,coords_cluster_center_dist,0.12676321653265152,1.5940549397672206,460.019602312926,-365.0825839161862,604.899445770487,506.14763629697023,355.8859543326953,295.35423140545527
8,coords_mean_price_m2,0.5808125390585257,1259.0892631149682,-1137.6776681527356,293.0300355615184,1148.904683822463,880.4341051251967,1048.2113450439228,814.3356790815719
