,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
9,building_year_no_info,0.009795265513475445,0.2116232265135375,0.0,0.0,0.0,0.0,0.0,0.0
7,market_type,0.012082523598307592,0.23171572562085638,0.0,0.0,0.0,0.0,0.0,0.0
10,building_type_apart,0.016228665091856404,0.17670336018310462,0.0,0.0,0.0,0.0,0.0,0.0
4,floor,0.01684959171071166,1.352461592800328,-298.7046975350298,31.770657479124797,378.4239006667,131.37580581554812,104.33788030480991,83.0754934311276
3,desc_len,0.02512033794696292,576.1516895295696,-76.13180684461517,91.90444845281041,303.4745023571664,225.52817818986392,176.7125139825921,141.0370159699046
2,building_year,0.04052713877806831,16.028052370063556,183.7220704629597,-361.06532735803796,668.926697003796,609.2275407749081,438.13425358946006,334.2121360843039
1,building_type,0.04573105832824123,0.3953236617001315,0.0,0.0,0.0,0.0,0.0,0.0
8,size,0.051087746888858414,14.591081636433914,605.7323389546767,-302.50613919205784,746.2369906960209,465.4217357975251,494.4522904634305,353.2362198591436
0,building_height,0.05433668136362055,1.7173843803878037,-193.79451182679873,175.11200681700888,340.59538200192793,328.76863447386415,276.19319281152184,249.05685856080572
5,lat,0.30916086150925165,0.6882841870999795,-1469.296871099865,-422.05081598627584,2662.0418571112996,3451.809573479286,2053.723208713747,2008.061013513729
6,lon,0.41908012927064586,0.9424974107501883,-1811.6919415771547,-1912.2841795574182,2490.5540568934293,2360.3080144677137,1860.3350998628973,1779.007214016929
